Incident_ID,Media_Attention,Date,School,City,State,City_Lat,City_Lon,School_Level,Targets
20181003AKDEA,Local,2018-10-03,Denali Montessori Elementary School,Anchorage,AK,61.218056,-149.900284,Elementary,Victims Targeted
20050901AKDIA,,2005-09-01,Dimond High School,Anchorage,AK,61.218056,-149.900284,High,Victims Targeted
20000110AKBAA,,2000-01-10,Bartlett High School,Anchorage,AK,61.218056,-149.900284,High,Victims Targeted
19970219AKBEB,,1997-02-19,Bethel Regional High School,Bethel,AK,60.804878,-161.78215,High,Random Shooting
20170110ALALA,,2017-01-10,Alexander City Middle School,Alexander City,AL,32.944012,-85.9538532,Middle,Neither
20220204ALWEB,Local,2022-02-04,Wenonah High School,Birmingham,AL,33.5206824,-86.8024326,High,Both
20180307ALHUB,,2018-03-07,Huffman High School,Birmingham,AL,33.5206824,-86.8024326,High,Random Shooting
20160315ALHUB,Local,2016-03-15,Huffman High School,Birmingham,AL,33.5206824,-86.8024326,High,Victims Targeted
20041115ALPAB,,2004-11-15,Parker High School,Birmingham,AL,33.5206824,-86.8024326,High,Victims Targeted
20040803ALHUB,,2004-08-03,Huffman High School,Birmingham,AL,33.5206824,-86.8024326,High,Victims Targeted
19940303ALENB,,1994-03-03,Ensley High School,Birmingham,AL,33.5206824,-86.8024326,High,Victims Targeted
19921116ALFAB,,1992-11-16,Fairfield High School,Birmingham,AL,33.5206824,-86.8024326,High,Victims Targeted
19851127ALCHB,,1985-11-27,Chelsea School,Birmingham,AL,33.5206824,-86.8024326,High,Both
19801212ALPAB,,1980-12-12,Parker High School,Birmingham,AL,33.5206824,-86.8024326,High,Both
20190322ALBLB,,2019-03-22,Blountsville Elementary School,Blountsville,AL,34.0814863,-86.5911027,Elementary,Random Shooting
20191210ALDED,,2019-12-10,Decatur High School,Decatur,AL,34.6060203,-86.9838165,High,Victims Targeted
20220505ALDOD,Local,2022-05-05,Dothan City School Bus,Dothan,AL,31.2237285,-85.3934375,K-12,Random Shooting
20210924ALFAF,National,2021-09-24,Fairfield High Preparatory School,Fairfield,AL,33.4859402,-86.9119366,High,Random Shooting
19930912ALFAF,Local,1993-09-12,Fairfield High School,Fairfield,AL,33.4859402,-86.9119366,High,Neither
20170524ALGRG,Local,2017-05-24,Greensboro High School,Greensboro,AL,32.7045753,-87.5958396,High,Victims Targeted
19801031ALHUH,,1980-10-31,Hueytown High School,Hueytown,AL,33.4512197,-86.9966606,High,Victims Targeted
20220225ALSOH,Regional,2022-02-25,Sonnie Hereford Elementary,Huntsville,AL,34.729847,-86.5859011,Elementary,Neither
20180917ALBLH,,2018-09-17,Blossomwood Elementary School,Huntsville,AL,34.729847,-86.5859011,Elementary,Neither
19821206ALHUH,,1982-12-06,Huntsville High School,Huntsville,AL,34.729847,-86.5859011,High,Victims Targeted
19781017ALLAL,,1978-10-17,Lanett Junior High School,Lanett,AL,32.8687391,-85.1904971,Junior High,Victims Targeted
20100120ALLIL,,2010-01-20,Livington High School,Livington,AL,30.62028122,-87.75299835,High,Victims Targeted
20220319ALCEL,Regional,2022-03-19,Central Baldwin Middle School,Loxley,AL,34.7736807,-86.5675095,Middle,Victims Targeted
20100205ALDIM,,2010-02-05,Discovery Middle School,Madison,AL,31.3187878,-85.4938975,Middle,Victims Targeted
20130129ALDAM,International,2013-01-29,Dale County School Bus,Midland City,AL,30.6913462,-88.0437509,Elementary,Random Shooting
20211015ALWIM,International,2021-10-15,Williamson High School,Mobile,AL,30.6913462,-88.0437509,12-Jun,Both
20200525ALORM,,2020-05-25,O Rourke Elementary School,Mobile,AL,30.6913462,-88.0437509,Elementary,Victims Targeted
20190830ALLAM,,2019-08-30,Ladd-Peebles Stadium,Mobile,AL,30.6913462,-88.0437509,High,Both
20180125ALMUM,Local,2018-01-25,Murphy High School,Mobile,AL,30.6913462,-88.0437509,High,Victims Targeted
20161011ALVIM,Local,2016-10-11,Vigor High School,Mobile,AL,30.6913462,-88.0437509,High,Victims Targeted
20150120ALWIM,,2015-01-20,Williamson High School,Mobile,AL,30.6913462,-88.0437509,High,Random Shooting
20120315ALLEM,Local,2012-03-15,LeFlore High School,Mobile,AL,30.6913462,-88.0437509,High,Victims Targeted
20080306ALDAM,,2008-03-06,Davidson High School,Mobile,AL,30.6913462,-88.0437509,High,Victims Targeted
19881006ALMOM,,1988-10-06,Most Pure Heart of Mary School,Mobile,AL,30.6913462,-88.0437509,Elementary,Victims Targeted
19800911ALJOM,,1980-09-11,John S. Shaw High School,Mobile,AL,32.3669656,-86.3006485,High,Victims Targeted
20190808ALBLM,,2019-08-08,Blount Elementary School,Montgomery,AL,32.3669656,-86.3006485,Elementary,Victims Targeted
20190226ALROM,Local,2019-02-26,Robert E. Lee High School,Montgomery,AL,32.3669656,-86.3006485,High,Victims Targeted
20170316ALROM,Local,2017-03-16,Robert E. Lee High School,Montgomery,AL,32.3669656,-86.3006485,High,Both
19970624ALJEM,,1997-06-24,Jefferson Davis High School,Montgomery,AL,32.3669656,-86.3006485,High,Victims Targeted
19921124ALROM,,1992-11-24,Robert E. Lee High School,Montgomery,AL,32.3669656,-86.3006485,High,Victims Targeted
20191201ALMOM,,2019-12-01,Mountain Brook High School,Mountain Brook,AL,33.60721207,-85.83425903,High,Victims Targeted
20060831ALOXO,,2006-08-31,Oxford High School,Oxford,AL,33.706205,-86.670079,High,Victims Targeted
20060113ALPIP,,2006-01-13,Pinson Valley High School,Pinson,AL,32.4640245,-86.4596966,High,Victims Targeted
20081023ALPRP,,2008-10-23,Prattville Christian Academy,Prattville,AL,30.7387998,-88.0788889,Other,Victims Targeted
19950927ALBLP,,1995-09-27,Blount High School,Prichard,AL,32.4078632,-87.0207473,High,Victims Targeted
20210401ALSES,Regional,2021-04-01,Selma High School,Selma,AL,32.4078632,-87.0207473,High,Victims Targeted
19910313ALSES,,1991-03-13,Selma High School,Selma,AL,33.3967079,-86.1597137,High,Both
19960411ALTAT,,1996-04-11,Talladega High School,Talladega,AL,30.547295,-88.1802037,High,Victims Targeted
20220520ALMAT,Local,2022-05-20,Mary W Burroughs Elementary School,Theodore,AL,33.2095614,-87.5675258,Elementary,Neither
20190118ALCET,,2019-01-18,Central High School,Tuscaloosa,AL,33.2095614,-87.5675258,High,Victims Targeted
19880202ALWET,,1988-02-02,West End Christian Elementary School,Tuscaloosa,AL,33.2095614,-87.5675258,Elementary,Random Shooting
19801013ALCET,,1980-10-13,Central High School,Tuscaloosa,AL,36.3456186,-94.2670404,High,Victims Targeted
20160113ARHAB,Local,2016-01-13,Harmony Grove High School,Benton,AR,35.9288199,-89.9073557,High,Random Shooting
20211203ARBLB,Local,2021-12-03,Blytheville High School,Blytheville,AR,35.6636886,-91.8476443,High,Victims Targeted
20190424ARCOC,,2019-04-24,Concord High School,Concord,AR,35.2231408,-93.1579532,High,Victims Targeted
19870210ARDAD,,1987-02-10,Dardanelle High School,Dardanelle,AR,34.5038393,-93.0552437,High,Victims Targeted
20220512ARHOH,National,2022-05-12,Hot Springs High School,Hot Springs,AR,35.8272257,-90.6949871,High,Both
19980324ARWEJ,,1998-03-24,Westside Middle School,Jonesboro,AR,35.8272257,-90.6949871,Middle,Random Shooting
19870506ARMAJ,,1987-05-06,MacAuthur Junior High,Jonesboro,AR,34.7465071,-92.2896267,Junior High,Victims Targeted
